vm, vb
2.313196 ,  9.6
2.337292 ,  9.7
2.363793 ,  9.8
2.386696 ,  9.9
2.40958 ,  10.0
2.433717 ,  10.1
2.457771 ,  10.2
2.481867 ,  10.3
2.506913 ,  10.4
2.530059 ,  10.5
2.554154 ,  10.6
2.579713 ,  10.7
2.602822 ,  10.8
2.626441 ,  10.9
2.652024 ,  11.0
2.674633 ,  11.1
2.698729 ,  11.2
2.722825 ,  11.3
2.746921 ,  11.4
2.771016 ,  11.5
2.795112 ,  11.6
2.819208 ,  11.7
2.843304 ,  11.8
2.867399 ,  11.9
2.891496 ,  12.0
2.915591 ,  12.1
2.939687 ,  12.2
2.961373 ,  12.29
2.987879 ,  12.4
3.011974 ,  12.5
3.03607 ,  12.6
